entryDate,closeDate,shortStrike,longStrike,credit,closeReason,netPnl
2007-03-22,2007-04-05,139,134,0.4930,profit_target,27.64640009122279
2007-03-21,2007-04-09,140,135,0.5915,profit_target,37.143905235620984
2007-04-05,2007-04-13,140,135,0.5364,profit_target,28.38551569382941
2007-04-09,2007-04-16,140,135,0.5129,profit_target,37.90834506621057
2007-04-13,2007-04-16,141,136,0.4755,profit_target,22.68133543137879
2007-04-16,2007-04-25,143,138,0.5326,profit_target,32.858727193791644
2007-04-17,2007-04-25,143,138,0.4979,profit_target,28.194214859905653
2007-04-25,2007-05-04,145,140,0.5465,profit_target,26.38846698042798
2007-04-26,2007-05-07,145,140,0.5285,profit_target,29.573973130091492
2007-05-04,2007-05-18,146,141,0.5258,profit_target,37.304448150668115
2007-05-07,2007-05-18,147,142,0.6439,profit_target,35.999058624968384
2007-05-18,2007-06-01,148,143,0.5635,profit_target,35.32721040528697
2007-05-21,2007-06-01,148,143,0.5801,profit_target,32.5974712346934
2007-06-01,2007-06-07,149,144,0.5239,stop_loss,-119.71586431649497
2007-06-04,2007-06-07,149,144,0.5244,stop_loss,-122.14352813445385
2007-06-07,2007-06-08,143,138,0.6191,profit_target,32.646998926697094
2007-06-08,2007-06-14,146,141,0.6559,profit_target,35.27186320235101
2007-06-11,2007-06-15,146,141,0.6208,profit_target,36.13425030750294
2007-06-14,2007-07-05,148,143,0.6432,profit_target,31.082842639612398
2007-06-15,2007-07-09,149,144,0.6722,profit_target,39.93606593160055
2007-07-05,2007-07-12,147,142,0.6000,profit_target,32.06348438811556
2007-07-09,2007-07-19,148,143,0.6320,profit_target,36.991657979523296
2007-07-12,2007-07-26,149,144,0.5889,stop_loss,-139.8824996837746
2007-07-19,2007-07-26,150,145,0.6346,stop_loss,-163.063227589856
2007-09-04,2007-09-18,141,136,0.7403,profit_target,58.072386575023486
2007-09-13,2007-09-18,140,135,0.7868,profit_target,56.25924017065395
2007-09-18,2007-09-27,145,140,0.7319,profit_target,44.387736298145754
2007-09-19,2007-10-01,146,141,0.7290,profit_target,48.37994353514809
2007-09-27,2007-10-05,147,142,0.6314,profit_target,36.85444688508695
2007-10-01,2007-10-09,149,144,0.7621,profit_target,43.21454782774622
2007-10-09,2007-10-19,151,146,0.6789,stop_loss,-144.35039082703656
2007-10-19,2007-10-23,142,137,0.7366,profit_target,35.858599118947836
2007-10-05,2007-10-31,150,145,0.7020,profit_target,42.96148259066414
2007-10-23,2007-10-31,145,140,0.7461,profit_target,49.61059598378743
2007-10-31,2007-11-09,149,144,0.7812,stop_loss,-191.49166180588654
2007-11-06,2007-11-21,145,140,0.7899,stop_loss,-188.09038672761042
2007-12-07,2007-12-24,143,138,0.6944,profit_target,35.75327422747422
2007-12-06,2007-12-26,144,139,0.7969,profit_target,43.67697248469672
2008-08-22,2008-09-09,124,119,0.6933,stop_loss,-151.65413412862637
2008-08-27,2008-09-15,122,117,0.6093,stop_loss,-196.02571025389403
2009-05-20,2009-05-29,84,79,0.6480,profit_target,31.675734863380715
2009-05-19,2009-06-01,85,80,0.7222,profit_target,51.53356390310075
2009-05-29,2009-06-09,86,81,0.7688,profit_target,44.93345566993824
2009-06-02,2009-06-26,88,83,0.7091,profit_target,36.808685947423726
2009-06-09,2009-06-29,88,83,0.6740,profit_target,33.48368434194243
2009-06-26,2009-07-15,87,82,0.7429,profit_target,52.948004830364184
2009-06-29,2009-07-15,87,82,0.5989,profit_target,32.212747368878
2009-07-15,2009-07-20,88,83,0.6979,profit_target,35.20185471427193
2009-07-16,2009-07-22,89,84,0.7225,profit_target,34.91961109709759
2009-07-20,2009-07-23,90,85,0.6809,profit_target,37.18630409374624
2009-07-22,2009-07-24,90,85,0.5848,profit_target,30.040219057126805
2009-07-23,2009-08-03,92,87,0.5818,profit_target,34.49112196520625
2009-07-24,2009-08-03,93,88,0.6691,profit_target,32.54948962817808
2009-08-03,2009-08-20,94,89,0.6377,profit_target,36.94676691605337
2009-08-04,2009-08-21,95,90,0.6938,profit_target,50.64333442303225
2009-08-20,2009-08-27,95,90,0.6768,profit_target,37.06392512907102
2009-08-21,2009-09-09,97,92,0.7221,profit_target,48.516804716027096
2009-08-27,2009-09-10,97,92,0.6346,profit_target,41.03593271807209
2009-09-09,2009-09-15,98,93,0.7320,profit_target,35.92380696612338
2009-09-10,2009-09-16,99,94,0.6988,profit_target,36.16606735574386
2009-09-15,2009-09-22,100,95,0.7251,profit_target,35.512681053214585
2009-09-16,2009-10-08,101,96,0.6634,profit_target,40.47486745929841
2009-09-22,2009-10-12,102,97,0.7341,profit_target,46.03645984786599
2009-10-08,2009-10-14,101,96,0.7321,profit_target,43.77729181160612
2009-10-12,2009-10-15,102,97,0.6660,profit_target,32.30109855526633
2009-10-15,2009-10-30,104,99,0.6213,stop_loss,-133.19833722042839
2009-10-14,2009-11-09,104,99,0.7472,profit_target,59.54825692599863
2009-11-05,2009-11-09,101,96,0.7736,profit_target,44.797455794010794
2009-11-09,2009-11-17,104,99,0.7415,profit_target,36.835817187835325
2009-11-10,2009-11-18,104,99,0.7249,profit_target,38.10389496062604
2009-11-17,2009-12-02,105,100,0.6182,profit_target,31.04870926008935
2009-11-18,2009-12-11,106,101,0.7287,profit_target,45.567023162623926
2009-12-02,2009-12-21,106,101,0.7072,profit_target,45.09423808834117
2009-12-11,2009-12-22,105,100,0.6179,profit_target,38.45280561887844
